year,name,code,pp_result,fix,pay,prize,paper,graduate,open,protect,compete,fluid,manage,guest,raise,proj,fund
1999,合计,1,0.388194353,4328,833934,326,14360,3123,1.062447533,0.038780782,1,3.331099815,0.877712546,14417,950122,8835,788708
1999,教育部,7,0.24362218,2236,435758,207,8704,2032,0.555699386,0.024539562,0.381446874,2.610017889,0.899638706,5836,484370,4902,423718
1999,国家卫生健康委员会,3,0.00250325,66,17460,3,81,15,0.504314724,0.025516421,0.388776582,6.303030303,0.951239444,416,18355,129,14305
1999,农业部,4,0.009678032,146,27693,9,354,70,0.561356509,0.0268256,0.7563505,6.404109589,0.898627381,935,30817,252,22496
1999,卫生部,5,0.013342674,274,34889,12,478,106,0.861889726,0.020033994,0.593322375,11.09124088,0.905220279,3039,38542,275,32157
1999,中国科学院,6,0.080584051,1269,256641,54,3991,577,0.615297533,0.022699626,0.387648146,2.945626478,0.843013077,3738,304433,2522,230047
2000,合计,1,0.412459625,56748,1341937,297,17419,3635,1.061971349,0.052368991,1,0.264326496,0.903805523,15000,1484763,9322,1256006
2000,教育部,7,0.305322844,33540,781129,241,11542,2733,0.571860299,0.026012345,0.382726659,0.220214669,0.906664918,7386,861541,5844,749564
2000,国家卫生健康委员会,3,0.000813207,708,17569,0,77,16,0.519920214,0.025558177,0.384160274,0.440677966,1.121544845,312,15665,93,12010
2000,农业部,4,0.00566504,972,17018,4,285,45,0.562735744,0.034706807,0.7563505,0.277777778,0.914651188,270,18606,142,11809
2000,卫生部,5,0.010125984,3024,43442,7,406,117,0.895595231,0.027134529,0.593322375,0.955357143,0.961042409,2889,45203,275,40808
2000,中国科学院,6,0.081721536,16776,446057,42,4767,601,0.620269681,0.025770311,0.391470744,0.23617072,0.882325481,3962,505547,2754,405289
2001,合计,1,0.097952534,6774,280470,26,5915,1229,1.299285357,0.060413359,1,0.191024505,0.884202761,1294,317201,5233,171956
2001,教育部,7,0.025425416,1764,58821,19,1570,15,0.677625409,0.028746475,0.380569713,1.221655329,0.952597655,2155,61748,109,64713.49
2001,国家卫生健康委员会,3,0.071444474,620,41507,60,2398,685,0.628573172,0.028120434,0.386001377,2.558064516,1.027223006,1586,40407,426,39751
2001,农业部,4,0.035801436,620,100497,1,2316,601,0.688867095,0.038601725,0.7563505,0.098387097,0.735929056,61,136558,1170,84329
2001,卫生部,5,0.107790089,651,47451,22,5864,1777,1.095554879,0.030863153,0.593322375,2.066052227,0.770984304,1345,61546,1263,32157
2001,中国科学院,6,0.00332347,73,8046,4,143,1,0.715311674,0.029527021,0.388332757,0.98630137,1.224284845,72,6572,65,4695
2002,合计,1,0.470422827,5522,195440,315,19918,4702,0.616638561,0.036321456,0.570047875,2.528431728,0.905951448,13962,215729,1117,186022
2002,教育部,7,0.348858854,3420,102902,257,13019,3638,1.149553005,0.059648378,1,1.639181287,0.885711826,5606,116180,728,102584
2002,国防科工委,8,0.009318683,85,5217,7,342,108,0.637519881,0.029880307,0.380569713,1.188235294,0.727108014,101,7175,20,7035
2002,国家卫生健康委员会,3,0.001447846,60,1749,0,147,15,0.598270758,0.029749228,0.386001377,3.4,0.913315927,204,1915,12,1616
2002,农业部,4,0.005479995,85,2287,3,315,49,0.616085719,0.038978439,0.7563505,2.305882353,0.818832796,196,2793,19,1777
2002,卫生部,5,0.007886671,191,5070,7,231,91,1.012466915,0.030793129,0.593322375,16.68586387,0.96663489,3187,5245,15,4697
2002,中国科学院,6,0.096048151,1681,78215,41,5864,801,0.667360168,0.030539792,0.388332757,2.776918501,0.94898083,4668,82420,324,68314
2003,合计,1,0.643036359,5889,219163,446,23484,7582,0.548741972,0.040103468,0.570047875,0.427067414,0.827673588,2515,264794,12509,243249.6
2003,教育部,7,0.433698958,3496,115739,290,15398,5562,1.007152409,0.0614965,1,0.384153318,0.763873122,1343,151516,8001,141214.9
2003,国防科工委,8,0.028378458,156,7805,12,667,685,0.621633606,0.035071104,0.37548378,0.352564103,0.879733995,55,8872,570,8216.1
2003,国家卫生健康委员会,3,0.000957061,28,1413,0,85,19,0.594801235,0.035724606,0.381946405,0.714285714,1.032894737,20,1368,54,1201.3
2003,农业部,4,0.012151775,123,5568,10,475,104,0.513336549,0.030910019,0.707146889,0.414634146,1.038612199,51,5361,353,5629.7
2003,卫生部,5,0.014476806,229,2703,15,396,116,0.984816316,0.031714473,0.593322375,0.126637555,0.815138721,29,3316,160,4560.6
2003,中国地震局,9,0.001098627,33,750,1,65,9,1.007152409,0.0614965,1,0.363636364,0.862068966,12,870,45,790
2003,中国科学院,6,0.144274501,1764,83255,116,5915,1057,0.65700905,0.035398561,0.382142938,0.54478458,0.916148556,961,90875,3257,79400.6
2003,总后卫生部,10,0.006064495,60,1930,2,483,30,0.066467402,0.018336707,1,0.733333333,0.737767584,44,2616,69,2236.4
2004,合计,1,0.539094654,6774,207270,37,35235,8197,0.615619879,0.050935467,0.570047875,0.426040744,0.6916816,2886,299661,12030,286000
2004,教育部,7,0.356078263,3519,107341,29,21613,5988,1.132373726,0.084877107,1,0.38135834,0.669642412,1342,160296,8050,167911
2004,国防科工委,8,0.025086209,180,6874,0,1776,379,0.761016802,0.043486832,0.372873321,0.366666667,0.685343968,66,10030,118,3870
2004,国家卫生健康委员会,3,0.000993472,25,1645,0,84,21,0.723207518,0.040331714,0.378095563,1,1.261503067,25,1304,59,1076
2004,农业部,4,0.008138102,145,3492,1,456,156,0.724310818,0.049764176,0.6741045,0.455172414,0.773250664,66,4516,315,7100
2004,卫生部,5,0.004898212,180,5324,0,251,123,0.089583824,0.001126809,1,0.288888889,0.764283664,52,6966,162,4236
2004,中国地震局,9,0.00111317,36,636,0,126,9,1.389075952,0.002997059,1,0.75,0.467647059,27,1360,46,1293
2004,中国科学院,6,0.125094124,2479,76805,7,9934,1229,0.087448875,0.002814016,1,0.488906817,0.704898173,1212,108959,3052,98375
2004,山西,11,0.001668011,24,646,0,168,16,1.145661681,0.051525684,0.5410356,0.708333333,0.917613636,17,704,47,1236
2004,上海市,12,0.002894529,45,702,0,262,31,1.132373726,0.084877107,1,0.444444444,0.870967742,20,806,67,1862
2004,四川,13,0.007155425,81,3225,0,306,199,0.82417184,0.045659263,0.384665841,0.185185185,0.783147159,15,4118,45,3833
2004,总后卫生部,10,0.003209883,60,580,0,259,46,0.435140152,0.038500096,0.525818,0.733333333,0.96345515,44,602,69,2139
2005,合计,1,0.656821637,8532,331934,50,40495,10863,0.702135598,0.048923676,0.570047875,0.376699484,0.89063175,3214,372695,12965,327352
2005,教育部,7,0.442455089,4443,162427,22,26619,7877,1.297647274,0.081149536,1,0.356966014,0.875008754,1586,185629,8492,168553
2005,国防科工委,8,0.022609143,192,8046,1,1565,333,0.883060695,0.045119623,0.372832325,0.338541667,0.781089215,65,10301,109,4324
2005,国家卫生健康委员会,3,0.002151449,26,1090,2,103,15,0.838563627,0.04288412,0.378095563,1.192307692,0.919831224,31,1185,62,1053
2005,农业部,4,0.012504579,194,3792,2,798,182,0.829772885,0.048095666,0.6741045,0.484536082,0.801013942,94,4734,438,9859
2005,卫生部,5,0.00721173,261,5729,1,333,166,0.124759483,0.001554053,1,0.130268199,0.767653759,34,7463,181,8063
2005,中国气象局,14,0.002142591,33,5672,2,124,6,1.640765528,0.001957232,1,0.757575758,0.991261797,25,5722,38,5672
2005,中国地震局,9,0.003905457,39,550,5,126,9,0.089103786,0.003139649,1,0.769230769,0.855365474,30,643,58,815
2005,中国科学院,6,0.14576163,2940,135894,22,10038,1723,1.330409844,0.049081175,0.5410356,0.440136054,0.953234054,1294,142561,2899,112421
2005,山西,11,0.001528528,28,532,2,44,12,1.297647274,0.081149536,1,0.25,1,7,532,55,407
2005,上海市,12,0.000732873,27,1836,0,27,33,0.958193096,0.046965219,0.384487002,1.518518519,0.896046852,41,2049,79,1999
2005,四川,13,0.011259713,83,2670,1,269,369,1.297647274,0.081149536,1,0.240963855,0.598654709,20,4460,270,4742
2005,总后卫生部,10,0.007484085,188,1743,2,383,133,0.499271489,0.036291063,0.525818,0.14893617,0.407052779,28,4282,206,5218
2006,合计,1,0.647313298,18780,655283,49,27949,15618,0.788140077,0.057624727,0.570047875,0.362353568,0.780629452,6805,839429,23309,499055
2006,教育部,7,0.437774959,9838,308931,31,16316,11679,0.648395116,0.004443289,1,0.351799146,0.74424168,3461,415095,15241,231521
2006,国防科工委,8,0.019531207,407,17997,0,914,490,1.458874074,0.100053605,1,0.312039312,0.80809124,127,22271,168,9188
2006,国家卫生健康委员会,3,0.000712832,55,2107,0,59,19,0.926838773,0.047374676,0.371026924,0.818181818,0.913703382,45,2306,76,1848
